"query","sum","numGenes","sum_corrected"
"Ceric.16G069600.1",3.581,10,0.3581
"Ceric.11G001200.1",2.925,20,0.14625
"Ceric.01G018500.1",6.511,20,0.32555
"Ceric.31G020500.1",3.828,30,0.1276
"Ceric.1Z119300.1",3.268,10,0.3268
"Ceric.33G032900.1",6.188,10,0.6188
"Ceric.1Z004200.1",3.395,10,0.3395
"Ceric.01G042200.1",1.796,10,0.1796
"Ceric.38G016900.1",5.071,10,0.5071
"Ceric.21G039400.1",12.889,30,0.429633333333333
"Ceric.28G067600.1",3.856,10,0.3856
"Ceric.02G059700.1",5.554,10,0.5554
"Ceric.18G036100.1",6.312,30,0.2104
"Ceric.13G083900.1",5.865,10,0.5865
"Ceric.38G056700.1",2.824,10,0.2824
"hubs",1.377,15,0.0918
